venue,city,country,format,matches,innings,runs,dismissals,not_outs,average,strike_rate,highest_score
"Barsapara Cricket Stadium, Guwahati",Guwahati,India,OVERALL,1,1,16,1,0,16.00,145.45,16
Maharani Usharaje Trust Cricket Ground,Indore,India,OVERALL,1,1,15,1,0,15.00,57.69,15
P Sara Oval,Colombo,Sri Lanka,OVERALL,1,1,15,1,0,15.00,50.00,15
"Civil Service Cricket Club, Stormont",Belfast,Unknown,OVERALL,2,2,14,1,1,14.00,93.33,14*
Barsapara Cricket Stadium,Guwahati,India,OVERALL,2,1,13,1,0,13.00,81.25,13
"The Village, Malahide",Dublin,Unknown,OVERALL,1,1,11,1,0,11.00,220.00,11
Moses Mabhida Stadium,Durban,South Africa,OVERALL,1,1,10,0,1,NA [Not Out],90.91,10*
"Maharashtra Cricket Association Stadium, Pune",Pune,India,OVERALL,3,2,10,2,0,5.00,100.00,8
"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,West Indies,OVERALL,1,1,9,1,0,9.00,26.47,9
Bangabandhu National Stadium,Dhaka,Bangladesh,OVERALL,1,1,7,0,1,NA [Not Out],350.00,7*
Multan Cricket Stadium,,Pakistan,OVERALL,1,1,2,0,1,NA [Not Out],40.00,2*
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,OVERALL,2,1,1,1,0,1.00,25.00,1
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,OVERALL,1,1,1,0,1,NA [Not Out],50.00,1*
MA Aziz Stadium,Chattogram,Unknown,OVERALL,1,1,0,1,0,0.00,0.00,0
Manuka Oval,Canberra,Australia,OVERALL,1,1,0,1,0,0.00,0.00,0
Greenfield International Stadium,Thiruvananthapuram,Pakistan,OVERALL,2,1,0,0,1,0.00,0.00,0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,India,OVERALL,1,1,0,1,0,0.00,0.00,0
Kingsmead,Durban,South Africa,T20I,4,4,124,3,1,41.33,137.78,45
Shere Bangla National Stadium,Mirpur,Pakistan,T20I,11,8,92,1,7,92.00,167.27,24
Saurashtra Cricket Association Stadium,Rajkot,India,T20I,2,2,73,1,1,73.00,125.86,49
M Chinnaswamy Stadium,Bangalore,India,T20I,3,3,70,2,1,35.00,140.00,56
Wankhede Stadium,Mumbai,India,T20I,3,3,69,1,2,69.00,186.49,38
Westpac Stadium,Wellington,New Zealand,T20I,2,2,67,1,1,67.00,109.84,39
R Premadasa Stadium,Colombo,Sri Lanka,T20I,5,4,60,3,1,20.00,101.69,23*
SuperSport Park,Centurion,South Africa,T20I,1,1,52,0,1,NA [Not Out],185.71,52*
Stadium Australia,Sydney,Australia,T20I,1,1,48,0,1,NA [Not Out],111.63,48*
